PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=43.8 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=74.0 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=123 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=173 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=227 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=272 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=325 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=373 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=422 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=472 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=573 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=621 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=673 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=728 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=771 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=822 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=872 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=921 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=971 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=1022 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=1073 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=1122 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=1174 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=1226 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=1245 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=760 ms
