PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=44.9 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=40.8 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=42.3 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=40.7 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=46.7 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=40.3 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=40.6 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=43.2 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=40.9 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=40.3 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=44.6 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=61 ttl=64 time=45.4 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=43.3 ms
64 bytes from 10.0.0.7: icmp_seq=63 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=65 ttl=64 time=41.2 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=68 ttl=64 time=40.2 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=41.8 ms
64 bytes from 10.0.0.7: icmp_seq=73 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=74 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=79 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=81 ttl=64 time=44.6 ms
64 bytes from 10.0.0.7: icmp_seq=82 ttl=64 time=40.2 ms
64 bytes from 10.0.0.7: icmp_seq=83 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=84 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=87 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=88 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=89 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=90 ttl=64 time=40.3 ms
64 bytes from 10.0.0.7: icmp_seq=91 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=92 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=93 ttl=64 time=40.3 ms
64 bytes from 10.0.0.7: icmp_seq=96 ttl=64 time=40.1 ms
64 bytes from 10.0.0.7: icmp_seq=97 ttl=64 time=40.2 ms
64 bytes from 10.0.0.7: icmp_seq=98 ttl=64 time=40.1 ms

--- 10.0.0.7 ping statistics ---
100 packets transmitted, 64 received, 36% packet loss, time 819ms
rtt min/avg/max/mdev = 40.068/40.743/46.734/1.480 ms
