PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=43.10 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=72.7 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=122 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=175 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=221 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=268 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=336 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=381 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=415 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=489 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=513 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=620 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=610 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=698 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=726 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=765 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=802 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=867 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=928 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=948 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=1004 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=1055 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=1128 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=1192 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=1241 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=1360 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=1446 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=1429 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=1422 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=1427 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=1422 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=1411 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=1428 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=1415 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=1409 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=1417 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=1417 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=1403 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=1421 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=1435 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=1459 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=1414 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=1438 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=1432 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=1443 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=1452 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=1411 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=1415 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=1418 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=1444 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=1414 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=1406 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=1415 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=1421 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=1433 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=1415 ms
64 bytes from 10.0.0.7: icmp_seq=61 ttl=64 time=1414 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=1427 ms
64 bytes from 10.0.0.7: icmp_seq=63 ttl=64 time=1417 ms
64 bytes from 10.0.0.7: icmp_seq=64 ttl=64 time=1419 ms
64 bytes from 10.0.0.7: icmp_seq=65 ttl=64 time=1396 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=1412 ms
64 bytes from 10.0.0.7: icmp_seq=68 ttl=64 time=1424 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=71 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=1419 ms
64 bytes from 10.0.0.7: icmp_seq=73 ttl=64 time=1398 ms
64 bytes from 10.0.0.7: icmp_seq=74 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=75 ttl=64 time=1406 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=1415 ms
64 bytes from 10.0.0.7: icmp_seq=77 ttl=64 time=1428 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=79 ttl=64 time=1413 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=1429 ms
64 bytes from 10.0.0.7: icmp_seq=81 ttl=64 time=1428 ms
64 bytes from 10.0.0.7: icmp_seq=82 ttl=64 time=1435 ms
64 bytes from 10.0.0.7: icmp_seq=83 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=84 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=85 ttl=64 time=1411 ms
64 bytes from 10.0.0.7: icmp_seq=86 ttl=64 time=1410 ms
64 bytes from 10.0.0.7: icmp_seq=87 ttl=64 time=1413 ms
64 bytes from 10.0.0.7: icmp_seq=88 ttl=64 time=1411 ms
64 bytes from 10.0.0.7: icmp_seq=89 ttl=64 time=1409 ms
64 bytes from 10.0.0.7: icmp_seq=90 ttl=64 time=1409 ms
64 bytes from 10.0.0.7: icmp_seq=91 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=92 ttl=64 time=1408 ms
64 bytes from 10.0.0.7: icmp_seq=93 ttl=64 time=1408 ms
64 bytes from 10.0.0.7: icmp_seq=94 ttl=64 time=1405 ms
64 bytes from 10.0.0.7: icmp_seq=95 ttl=64 time=1455 ms
64 bytes from 10.0.0.7: icmp_seq=96 ttl=64 time=1432 ms
64 bytes from 10.0.0.7: icmp_seq=97 ttl=64 time=1417 ms
64 bytes from 10.0.0.7: icmp_seq=98 ttl=64 time=1404 ms
64 bytes from 10.0.0.7: icmp_seq=99 ttl=64 time=1413 ms
64 bytes from 10.0.0.7: icmp_seq=100 ttl=64 time=1408 ms

--- 10.0.0.7 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 139ms
rtt min/avg/max/mdev = 43.995/1218.631/1458.715/387.084 ms, pipe 2
