PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=42.7 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=42.1 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=40.2 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=91.7 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=42.0 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=44.7 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=41.4 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=40.7 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=40.6 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=40.5 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=41.2 ms
64 bytes from 10.0.0.7: icmp_seq=63 ttl=64 time=41.10 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=40.6 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=40.5 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=71 ttl=64 time=40.6 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=73 ttl=64 time=41.2 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=41.3 ms
64 bytes from 10.0.0.7: icmp_seq=79 ttl=64 time=42.0 ms
64 bytes from 10.0.0.7: icmp_seq=100 ttl=64 time=87.0 ms
64 bytes from 10.0.0.7: icmp_seq=103 ttl=64 time=41.2 ms
64 bytes from 10.0.0.7: icmp_seq=109 ttl=64 time=40.9 ms
64 bytes from 10.0.0.7: icmp_seq=112 ttl=64 time=40.7 ms
64 bytes from 10.0.0.7: icmp_seq=114 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=122 ttl=64 time=41.5 ms
64 bytes from 10.0.0.7: icmp_seq=123 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=124 ttl=64 time=40.10 ms
64 bytes from 10.0.0.7: icmp_seq=128 ttl=64 time=40.9 ms
64 bytes from 10.0.0.7: icmp_seq=130 ttl=64 time=41.6 ms
64 bytes from 10.0.0.7: icmp_seq=139 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=140 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=141 ttl=64 time=40.4 ms
64 bytes from 10.0.0.7: icmp_seq=148 ttl=64 time=43.4 ms
64 bytes from 10.0.0.7: icmp_seq=150 ttl=64 time=41.7 ms
64 bytes from 10.0.0.7: icmp_seq=151 ttl=64 time=40.2 ms
64 bytes from 10.0.0.7: icmp_seq=153 ttl=64 time=41.8 ms
64 bytes from 10.0.0.7: icmp_seq=155 ttl=64 time=40.9 ms
64 bytes from 10.0.0.7: icmp_seq=158 ttl=64 time=41.2 ms
64 bytes from 10.0.0.7: icmp_seq=160 ttl=64 time=96.4 ms
64 bytes from 10.0.0.7: icmp_seq=171 ttl=64 time=41.9 ms
64 bytes from 10.0.0.7: icmp_seq=176 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=177 ttl=64 time=41.7 ms
64 bytes from 10.0.0.7: icmp_seq=180 ttl=64 time=40.7 ms
64 bytes from 10.0.0.7: icmp_seq=186 ttl=64 time=41.9 ms
64 bytes from 10.0.0.7: icmp_seq=202 ttl=64 time=42.0 ms
64 bytes from 10.0.0.7: icmp_seq=203 ttl=64 time=40.8 ms
64 bytes from 10.0.0.7: icmp_seq=206 ttl=64 time=40.6 ms
64 bytes from 10.0.0.7: icmp_seq=207 ttl=64 time=41.7 ms
64 bytes from 10.0.0.7: icmp_seq=208 ttl=64 time=41.3 ms
64 bytes from 10.0.0.7: icmp_seq=210 ttl=64 time=40.6 ms
64 bytes from 10.0.0.7: icmp_seq=211 ttl=64 time=41.0 ms
64 bytes from 10.0.0.7: icmp_seq=215 ttl=64 time=41.3 ms
64 bytes from 10.0.0.7: icmp_seq=216 ttl=64 time=41.8 ms
64 bytes from 10.0.0.7: icmp_seq=223 ttl=64 time=40.5 ms
64 bytes from 10.0.0.7: icmp_seq=224 ttl=64 time=40.8 ms
64 bytes from 10.0.0.7: icmp_seq=228 ttl=64 time=41.2 ms
64 bytes from 10.0.0.7: icmp_seq=230 ttl=64 time=41.7 ms
64 bytes from 10.0.0.7: icmp_seq=234 ttl=64 time=42.4 ms
64 bytes from 10.0.0.7: icmp_seq=235 ttl=64 time=40.9 ms
64 bytes from 10.0.0.7: icmp_seq=240 ttl=64 time=41.1 ms
64 bytes from 10.0.0.7: icmp_seq=241 ttl=64 time=41.5 ms
64 bytes from 10.0.0.7: icmp_seq=242 ttl=64 time=41.0 ms
64 bytes from 10.0.0.7: icmp_seq=245 ttl=64 time=42.6 ms
64 bytes from 10.0.0.7: icmp_seq=246 ttl=64 time=41.4 ms
64 bytes from 10.0.0.7: icmp_seq=247 ttl=64 time=40.10 ms
64 bytes from 10.0.0.7: icmp_seq=265 ttl=64 time=41.0 ms
64 bytes from 10.0.0.7: icmp_seq=271 ttl=64 time=42.1 ms
64 bytes from 10.0.0.7: icmp_seq=275 ttl=64 time=42.0 ms
64 bytes from 10.0.0.7: icmp_seq=280 ttl=64 time=41.4 ms
64 bytes from 10.0.0.7: icmp_seq=281 ttl=64 time=41.3 ms
64 bytes from 10.0.0.7: icmp_seq=286 ttl=64 time=40.9 ms
64 bytes from 10.0.0.7: icmp_seq=288 ttl=64 time=41.9 ms
64 bytes from 10.0.0.7: icmp_seq=290 ttl=64 time=42.2 ms
64 bytes from 10.0.0.7: icmp_seq=296 ttl=64 time=41.3 ms
64 bytes from 10.0.0.7: icmp_seq=300 ttl=64 time=40.10 ms

--- 10.0.0.7 ping statistics ---
300 packets transmitted, 79 received, 73.6667% packet loss, time 1195ms
rtt min/avg/max/mdev = 40.177/43.207/96.404/9.691 ms
