PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=29.3 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=54.8 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=53.5 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=73.8 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=117 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=155 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=193 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=240 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=290 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=335 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=388 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=434 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=491 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=542 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=598 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=648 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=696 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=740 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=737 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=737 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=739 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=735 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=707 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=739 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=728 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=735 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=748 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=741 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=756 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=748 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=739 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=744 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=791 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=744 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=708 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=762 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=767 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=767 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=761 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=766 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=789 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=769 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=768 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=769 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=775 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=779 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=707 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=748 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=771 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=781 ms
64 bytes from 10.0.0.4: icmp_seq=51 ttl=64 time=780 ms
64 bytes from 10.0.0.4: icmp_seq=52 ttl=64 time=782 ms
64 bytes from 10.0.0.4: icmp_seq=53 ttl=64 time=781 ms
64 bytes from 10.0.0.4: icmp_seq=54 ttl=64 time=798 ms
64 bytes from 10.0.0.4: icmp_seq=55 ttl=64 time=786 ms
64 bytes from 10.0.0.4: icmp_seq=56 ttl=64 time=799 ms
64 bytes from 10.0.0.4: icmp_seq=57 ttl=64 time=788 ms
64 bytes from 10.0.0.4: icmp_seq=58 ttl=64 time=804 ms
64 bytes from 10.0.0.4: icmp_seq=59 ttl=64 time=725 ms
64 bytes from 10.0.0.4: icmp_seq=60 ttl=64 time=724 ms
64 bytes from 10.0.0.4: icmp_seq=61 ttl=64 time=803 ms
64 bytes from 10.0.0.4: icmp_seq=62 ttl=64 time=787 ms
64 bytes from 10.0.0.4: icmp_seq=63 ttl=64 time=804 ms
64 bytes from 10.0.0.4: icmp_seq=64 ttl=64 time=789 ms
64 bytes from 10.0.0.4: icmp_seq=65 ttl=64 time=803 ms
64 bytes from 10.0.0.4: icmp_seq=66 ttl=64 time=838 ms
64 bytes from 10.0.0.4: icmp_seq=67 ttl=64 time=815 ms
64 bytes from 10.0.0.4: icmp_seq=68 ttl=64 time=801 ms
64 bytes from 10.0.0.4: icmp_seq=69 ttl=64 time=816 ms
64 bytes from 10.0.0.4: icmp_seq=70 ttl=64 time=795 ms
64 bytes from 10.0.0.4: icmp_seq=71 ttl=64 time=705 ms
64 bytes from 10.0.0.4: icmp_seq=72 ttl=64 time=807 ms
64 bytes from 10.0.0.4: icmp_seq=73 ttl=64 time=832 ms
64 bytes from 10.0.0.4: icmp_seq=74 ttl=64 time=820 ms
64 bytes from 10.0.0.4: icmp_seq=75 ttl=64 time=842 ms
64 bytes from 10.0.0.4: icmp_seq=76 ttl=64 time=851 ms
64 bytes from 10.0.0.4: icmp_seq=77 ttl=64 time=852 ms
64 bytes from 10.0.0.4: icmp_seq=78 ttl=64 time=847 ms
64 bytes from 10.0.0.4: icmp_seq=79 ttl=64 time=876 ms
64 bytes from 10.0.0.4: icmp_seq=80 ttl=64 time=860 ms
64 bytes from 10.0.0.4: icmp_seq=81 ttl=64 time=873 ms
64 bytes from 10.0.0.4: icmp_seq=82 ttl=64 time=755 ms
64 bytes from 10.0.0.4: icmp_seq=83 ttl=64 time=714 ms
64 bytes from 10.0.0.4: icmp_seq=84 ttl=64 time=860 ms
64 bytes from 10.0.0.4: icmp_seq=85 ttl=64 time=952 ms
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=927 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=902 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=951 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=891 ms
